review_id,food_sentiment,service_sentiment,overall
1,รสชาติอาหารผัดฉ่าและต้มยำปลารสจัดสำหรับคนทานเผ็ด ส่วนเมนูปลาหมึกกุ้งผัดกระเทียมรสชาติสดเพราะวัตถุดิบสดใหม่ ข้าวผัดทะเลจะใส่กุ้งและปลาหมึกอร่อย ,ร้านบ้าน เปิดขายภายในบ้าน จะมีโต๊ะนั่งประมาณ 8 โต๊ะ ตั้งอยู่ใกล้กับศาสเจ้า แนะนำถ้ามาครั้งแรก ให้เลยซอยไปหน่อย แล้วหาที่จอดจ้างทางแล้ว เดินเข้าไปที่ร้านจะง่ายกว่า ,Positive
2,การสั่งเมนูร้านนี้ต้องมาดูวัตถุดิบและสั่งรายการ ร้านนี้อาหารทำเร็ว รสชาติอาหารอร่อย ปริมาณให้เหมาะสมกับราคา ,เจ้าของเป็นกันเอง โต๊ะในร้านมีที่นั่งจำกัด ,Positive
3,กั้งทอดกระเทียม คือเมนูที่ควรสั่งเพราะว่าเนื้อเด้งมากแล้วก็หอมกระเทียมกำลังดี กระเพรารวมมิตร เพิ่มไข่ดาวมาด้วยฟินสุดสุดสำหรับเมนูนี้ใครที่ชอบผัดกระเพรา และสำหรับใครที่ชอบปลาหมึกก็คือสามารถสั่งผัดกระเพราปลาหมึกหรือว่าปลาหมึกทอดกระเทียมแบบเราได้เลยอร่อยทุกอย่างจริงๆเพราะว่าวัตถุดิบเค้าสดใหม่ร้านนี้แต่ว่าร้านคือเป็นแบบบ้านที่สุดตั้งแต่เคยกินมาอย่าตกใจกันนะคะ ,"ร้านอยู่ในซอยทางเข้าศาลเจ้าจีน เดินรถทางเดียวซอยแคบ โปรดระมัดระวัง
ที่ร้านเป็นบ้านไม้มีโต๊ะนั่งสี่ห้าโต๊ะ บรรยากาศเป็นกันเองร้านรับเฉพาะเงินสดเท่านั้น",Positive
4,"สามารถสั่งเป็นราดข้าวหรือกับข้าวก็ได้ กับข้าวจานละ 300 ทุกอย่าง
อาหารให้มาเยอะคุ้มราคา รสชาตจัดจ้านกำลังดี หอยเชลล์เด้งนุ่ม
 ",ร้านดูเอาใจใส่ดีค่ะ ช่างสังเกต เห็นเราถือถุงน้ำมาก็เอาแก้วเปล่ามาให้ใส่ กันหก ,Positive
5,"ร้านมีวัตถุดิบหลายอย่างให้เลือก เช่น กั้ง, ปู, ปลาหมึก, กุ้ง, หอยเชลล์ สามารถสั่งแบบรวมผสมกันหลายอย่างได้ สั่ง""ข้าวราดกั้งทอดกระเทียม"" (100.-บาท) กั้งดี แต่รสชาติหนักและเผ็ดพริกไทยไปหน่อย น้ำแข็งและน้ำดื่ม บริการฟรี ",มาวันอาทิตย์ตอน 11 โมงครึ่งหาที่จอดยากนิดนึงเลยต้องจอดไกลๆแล้วเดินมา คนค่อนข้างเยอะอากาศร้อนต้องใจเย็นๆรออาหารนานหน่อยแต่ไม่ผิดหวัง ,Neutral
6,ร้านอาหารที่เนื้อปูผัดกระเพราอร่อย​ ปลาเห็ดโคนอร่อย​ กั้งทอดกระเทียมอร่อย​ ไปก่อนทอดกระเทียมก็กรอบอร่อยส่วนปลาเห็ดโคนแกงป่าก็อร่อยครับ น้ำส้มร้านนี้ก็อร่อยส่วนข้างกระเทียมเป็นกั้วแก้วนะครับ​ ไม่รู้จะงกดาวน์ไปทำไมจัดไปเลย 5 ดาว ,ที่ร้านรับแต่เงินสดเลยต้องเดินออกไปกดธนาคารข้างนอก ไม่มีน้ำอัดลมต้องหามาเอง โดยรวมเป็นร้านท้องถิ่นประจำเมืองชลบุรี ดูคุณป้าคนทำกับข้าวตั้งไจทำรอนานนิดนึงแต่ไม่ผิดหวังแน่นอน ควรแวะมาลองกิน ,Neutral
7,กั้งทอดกระเทียม ของเด่นประจำร้าน กั้งสดเด้งราคาไม่แพง 300 บาท กระเพรารวมทะเล รวมของดีรสชาติไม่ค่อยจัด ถ้าชอบเค็มต้องเติมน้ำปลาพริกเอง ,เราไปทานตอนเช้า เราขับไปทางถ.วชิรปราการ ซึ่งรถหนาแน่น ก็พยามหาที่จอด มันจะมีฝั่งห้ามจอดวันคู่ อีกฝั่งวันคี่ ก็คือจอดห่างไป 500 ม. แล้วเดินไป เข้าซอยร้าน ซอยจะเล็กๆ เรียกว่าตรอกละกัน เราเดินก็ไม่เท่าไร แต่มีรถเข็นน้องด้วย ซึ่งฟุทบาตไทยแลนด์หน้าตลาดสดคือไม่ไหวจริงๆ มีเสี่ยงตายนะจ๊ะแล้วพอเข้าไปเจอร้าน มันเป็นลานเหมือนลานหน้าศาลเจ้า มีที่จอดรถจ้าจอดได้หลายคันอยู่นะ เจ้าของร้านก็บอกวันนี้คนน้อย ขับมาจอดเลยก็ได้ ก็ใครพาน้องเล็กไปด้วย ลองวนไปดูที่ร้านก่อนนะ เผื่อจอดได้จ้า วันนี้ร้านคนไม่เยอะ พนักงานแวะมาเล่นกับลูกทุกคนบริการดี หมุนพัดลม 2 ตัวมาจ่อให้โต๊ะนี่เลย ร้านไม่ใหญ่ มีไม่กี่โต๊ะฟิลบ้านๆเลยจ๊ะ,Positive
8,"อาหารทะเลคือสดใช่ได้นะ แต่คืออาจจะเพราะเราอยู่ชลบุรี ก็ไม่ได้ตื่นเต้นกับความสดเท่าไร ขนาดน้องปู, กั้งที่ใส่ก็ไม่ได้ใหญ่หรือเยอะมาก ส่วนตัวคือค่อนข้างทั่วไป ข้าวผัดปู นี่เราชอบนะผัดแห้งดี ปูผัดผงกระหรี่ นี่ไม่ชอบรสชาติค่อนข้างเค็ม กระเพรากั้ง/ปู ออกไปทางเค็มเช่นกัน เราว่าก็เฉยๆ นะ ถ้าไม่ได้มาทำธุระแถวนี่ คงไม่ได้มาทานอีกงะ อ่านต่อได้ที่ ",ห้องแถวสองห้อง บรรยากาศรอบข้างค่อนข้างร้อน ส่งผลให้ร้านร้อนไปด้วย ล่ะทานของร้อน แม้จะมีพัดลมช่วยแล้ว ความคุ้มค่าเรทคุ้มกะปริมาณพอตัวเลยนาคือบางเมนูอาจจะดูไม่คุ้ม แต่อย่างหอยเชลล์จัดหนักมากนะ ที่จอดรถเวิ้งหน้าร้าน หน้าศาล มีที่จอดได้เล็กน้อย ,Positive
9,"ภาพรวมใช้ได้ ไม่จัดจ้าน แต่ไม่น่าเกลียด
ราดหน้าหอยเชลล์ : ของสด น้ำราดเหนียวกำลังดี รสใช้ได้
กะเพรารวม : ของสดทั้งกุ้ง,ปู,หมึก,กั้ง ปรุงมาติดเค็มไปนิด ",ไปตั้งแต่สิบโมงเช้า ก็เลยไม่ต้องรอคิวค่ะ ,Neutral
10,"อาหารทะเลสดๆ ตัวใหญ่ๆ เต็มปากเต็มคำ กั้งทอดกระเทียม 5/5 อร่อยรสชาตินัวกำลังดีรสไม่จัดเกินไปกินเพลินดีแนะนำเมนูนี้ต้องลองวันนี้สั่งเป็นกับข้าวราคา 300 บาท 
กระเพราทะเล 4/5 ใส่หมึก กุ้ง กั้ง ปลารสชาติกลางๆแต่ทะเลชิ้นใหญ่ดีเต็มปากเต็มคำวันนี้สั่งเป็นกับข้าวราคา 300 บาท ต้มยำกุ้ง 4/5 กุ้งตัวใหญ่ดีมาก รสกลางๆ กำลังดี ไม่เผ็ดเกินไป
ไข่เจียวปู 3/5 รสชาติธรรมดา มันไปนิด รสไข่เจียวกลบกินไปไม่ค่อยรู้สึกว่ากินเนื้อปูเท่าไหร่วันนี้สั่งเป็นกับข้าวราคา 200 บาท กระเพราหมูกรอบ 2.5/5 เฉยๆ ธรรมดารสกลางๆ ",สามารถหาที่จอดรถในบริเวณที่จอดรถวัดใกล้ๆ และเดินมาไม่เกิน 300 เมตรในตรอกซอยก๊วน ร้านตั้งอยู่ในบ้านไม้หลังเก่าหลังศาลเจ้า มีโต๊ะอยู่ 4-5 โต๊ะ ถ้ามาตรงเวลามื้ออาหารช่วงวันหยุดนี่คิวยาวแน่นอน ,Positive
